name,capital,region,countrycode,capital,region,subregion,population,languages,flag
Qatar,QAT,Doha,Asia,Western Asia,2587564,Arabic,https://restcountries.eu/data/qat.svg
Republic of Kosovo,KOS,Pristina,Europe,Eastern Europe,1733842,Albanian,https://restcountries.eu/data/kos.svg
Réunion,REU,Saint-Denis,Africa,Eastern Africa,840974,French,https://restcountries.eu/data/reu.svg
Romania,ROU,Bucharest,Europe,Eastern Europe,19861408,Romanian,https://restcountries.eu/data/rou.svg
Russian Federation,RUS,Moscow,Europe,Eastern Europe,146599183,Russian,https://restcountries.eu/data/rus.svg
Rwanda,RWA,Kigali,Africa,Eastern Africa,11553188,Kinyarwanda,https://restcountries.eu/data/rwa.svg
Saint Barthélemy,BLM,Gustavia,Americas,Caribbean,9417,French,https://restcountries.eu/data/blm.svg
"Saint Helena, Ascension and Tristan da Cunha",SHN,Jamestown,Africa,Western Africa,4255,English,https://restcountries.eu/data/shn.svg
Saint Kitts and Nevis,KNA,Basseterre,Americas,Caribbean,46204,English,https://restcountries.eu/data/kna.svg
Saint Lucia,LCA,Castries,Americas,Caribbean,186000,English,https://restcountries.eu/data/lca.svg
Saint Martin (French part),MAF,Marigot,Americas,Caribbean,36979,English,https://restcountries.eu/data/maf.svg
Saint Pierre and Miquelon,SPM,Saint-Pierre,Americas,Northern America,6069,French,https://restcountries.eu/data/spm.svg
Saint Vincent and the Grenadines,VCT,Kingstown,Americas,Caribbean,109991,English,https://restcountries.eu/data/vct.svg
Samoa,WSM,Apia,Oceania,Polynesia,194899,Samoan,https://restcountries.eu/data/wsm.svg
San Marino,SMR,City of San Marino,Europe,Southern Europe,33005,Italian,https://restcountries.eu/data/smr.svg
Sao Tome and Principe,STP,São Tomé,Africa,Middle Africa,187356,Portuguese,https://restcountries.eu/data/stp.svg
Saudi Arabia,SAU,Riyadh,Asia,Western Asia,32248200,Arabic,https://restcountries.eu/data/sau.svg
Senegal,SEN,Dakar,Africa,Western Africa,14799859,French,https://restcountries.eu/data/sen.svg
Serbia,SRB,Belgrade,Europe,Southern Europe,7076372,Serbian,https://restcountries.eu/data/srb.svg
Seychelles,SYC,Victoria,Africa,Eastern Africa,91400,French,https://restcountries.eu/data/syc.svg
Sierra Leone,SLE,Freetown,Africa,Western Africa,7075641,English,https://restcountries.eu/data/sle.svg
Singapore,SGP,Singapore,Asia,South-Eastern Asia,5535000,English,https://restcountries.eu/data/sgp.svg
Sint Maarten (Dutch part),SXM,Philipsburg,Americas,Caribbean,38247,Dutch,https://restcountries.eu/data/sxm.svg
Slovakia,SVK,Bratislava,Europe,Eastern Europe,5426252,Slovak,https://restcountries.eu/data/svk.svg
Slovenia,SVN,Ljubljana,Europe,Southern Europe,2064188,Slovene,https://restcountries.eu/data/svn.svg
Solomon Islands,SLB,Honiara,Oceania,Melanesia,642000,English,https://restcountries.eu/data/slb.svg
Somalia,SOM,Mogadishu,Africa,Eastern Africa,11079000,Somali,https://restcountries.eu/data/som.svg
South Africa,ZAF,Pretoria,Africa,Southern Africa,55653654,Afrikaans,https://restcountries.eu/data/zaf.svg
South Georgia and the South Sandwich Islands,SGS,King Edward Point,Americas,South America,30,English,https://restcountries.eu/data/sgs.svg
Korea (Republic of),KOR,Seoul,Asia,Eastern Asia,50801405,Korean,https://restcountries.eu/data/kor.svg
South Sudan,SSD,Juba,Africa,Middle Africa,12131000,English,https://restcountries.eu/data/ssd.svg
Spain,ESP,Madrid,Europe,Southern Europe,46438422,Spanish,https://restcountries.eu/data/esp.svg
Sri Lanka,LKA,Colombo,Asia,Southern Asia,20966000,Sinhalese,https://restcountries.eu/data/lka.svg
Sudan,SDN,Khartoum,Africa,Northern Africa,39598700,Arabic,https://restcountries.eu/data/sdn.svg
Suriname,SUR,Paramaribo,Americas,South America,541638,Dutch,https://restcountries.eu/data/sur.svg
Svalbard and Jan Mayen,SJM,Longyearbyen,Europe,Northern Europe,2562,Norwegian,https://restcountries.eu/data/sjm.svg
Swaziland,SWZ,Lobamba,Africa,Southern Africa,1132657,English,https://restcountries.eu/data/swz.svg
Sweden,SWE,Stockholm,Europe,Northern Europe,9894888,Swedish,https://restcountries.eu/data/swe.svg
Switzerland,CHE,Bern,Europe,Western Europe,8341600,German,https://restcountries.eu/data/che.svg
Syrian Arab Republic,SYR,Damascus,Asia,Western Asia,18564000,Arabic,https://restcountries.eu/data/syr.svg
Taiwan,TWN,Taipei,Asia,Eastern Asia,23503349,Chinese,https://restcountries.eu/data/twn.svg
Tajikistan,TJK,Dushanbe,Asia,Central Asia,8593600,Tajik,https://restcountries.eu/data/tjk.svg
"Tanzania, United Republic of",TZA,Dodoma,Africa,Eastern Africa,55155000,Swahili,https://restcountries.eu/data/tza.svg
Thailand,THA,Bangkok,Asia,South-Eastern Asia,65327652,Thai,https://restcountries.eu/data/tha.svg
Timor-Leste,TLS,Dili,Asia,South-Eastern Asia,1167242,Portuguese,https://restcountries.eu/data/tls.svg
Togo,TGO,Lomé,Africa,Western Africa,7143000,French,https://restcountries.eu/data/tgo.svg
Tokelau,TKL,Fakaofo,Oceania,Polynesia,1411,English,https://restcountries.eu/data/tkl.svg
Tonga,TON,Nuku'alofa,Oceania,Polynesia,103252,English,https://restcountries.eu/data/ton.svg
Trinidad and Tobago,TTO,Port of Spain,Americas,Caribbean,1349667,English,https://restcountries.eu/data/tto.svg
Tunisia,TUN,Tunis,Africa,Northern Africa,11154400,Arabic,https://restcountries.eu/data/tun.svg
Turkey,TUR,Ankara,Asia,Western Asia,78741053,Turkish,https://restcountries.eu/data/tur.svg
Turkmenistan,TKM,Ashgabat,Asia,Central Asia,4751120,Turkmen,https://restcountries.eu/data/tkm.svg
Turks and Caicos Islands,TCA,Cockburn Town,Americas,Caribbean,31458,English,https://restcountries.eu/data/tca.svg
Tuvalu,TUV,Funafuti,Oceania,Polynesia,10640,English,https://restcountries.eu/data/tuv.svg
Uganda,UGA,Kampala,Africa,Eastern Africa,33860700,English,https://restcountries.eu/data/uga.svg
Ukraine,UKR,Kiev,Europe,Eastern Europe,42692393,Ukrainian,https://restcountries.eu/data/ukr.svg
United Arab Emirates,ARE,Abu Dhabi,Asia,Western Asia,9856000,Arabic,https://restcountries.eu/data/are.svg
United Kingdom of Great Britain and Northern Ireland,GBR,London,Europe,Northern Europe,65110000,English,https://restcountries.eu/data/gbr.svg
United States of America,USA,"Washington, D.C.",Americas,Northern America,323947000,English,https://restcountries.eu/data/usa.svg
Uruguay,URY,Montevideo,Americas,South America,3480222,Spanish,https://restcountries.eu/data/ury.svg
Uzbekistan,UZB,Tashkent,Asia,Central Asia,31576400,Uzbek,https://restcountries.eu/data/uzb.svg
Vanuatu,VUT,Port Vila,Oceania,Melanesia,277500,Bislama,https://restcountries.eu/data/vut.svg
Venezuela (Bolivarian Republic of),VEN,Caracas,Americas,South America,31028700,Spanish,https://restcountries.eu/data/ven.svg
Viet Nam,VNM,Hanoi,Asia,South-Eastern Asia,92700000,Vietnamese,https://restcountries.eu/data/vnm.svg
Wallis and Futuna,WLF,Mata-Utu,Oceania,Polynesia,11750,French,https://restcountries.eu/data/wlf.svg
Western Sahara,ESH,El Aaiún,Africa,Northern Africa,510713,Spanish,https://restcountries.eu/data/esh.svg
Yemen,YEM,Sana'a,Asia,Western Asia,27478000,Arabic,https://restcountries.eu/data/yem.svg
Zambia,ZMB,Lusaka,Africa,Eastern Africa,15933883,English,https://restcountries.eu/data/zmb.svg
Zimbabwe,ZWE,Harare,Africa,Eastern Africa,14240168,English,https://restcountries.eu/data/zwe.svg
